"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01082";"RODRIGUES ALVES";"4";"5";"Senador";"Coligação";"13";"PT";"Partido dos Trabalhadores";"10000050418";"Frente Popular do Acre";"PRB / PDT / PT / PODE / PROS / PC do B / PSB / PV / PSOL / PHS / PRTB / DC / PPL / PMB";"N";"5844";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01040";"MARECHAL THAUMATURGO";"4";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"10000050074";"Mudança e Competência 1";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"N";"333";"62"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01015";"CAPIXABA";"2";"6";"Deputado Federal";"Coligação";"13";"PT";"Partido dos Trabalhadores";"10000050220";"Frente Popular do Acre I";"PT / PSB / PHS / PC do B / DC";"N";"569";"38"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01023";"PORTO ACRE";"1";"6";"Deputado Federal";"Coligação";"13";"PT";"Partido dos Trabalhadores";"10000050220";"Frente Popular do Acre I";"PT / PSB / PHS / PC do B / DC";"N";"1596";"96"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01090";"MÂNCIO LIMA";"4";"6";"Deputado Federal";"Coligação";"13";"PT";"Partido dos Trabalhadores";"10000050220";"Frente Popular do Acre I";"PT / PSB / PHS / PC do B / DC";"N";"926";"79"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01112";"EPITACIOLÂNDIA";"6";"6";"Deputado Federal";"Partido isolado";"18";"REDE";"Rede Sustentabilidade";"10000050039";"PARTIDO ISOLADO";"REDE";"N";"17";"5"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01120";"ACRELÂNDIA";"8";"6";"Deputado Federal";"Partido isolado";"18";"REDE";"Rede Sustentabilidade";"10000050039";"PARTIDO ISOLADO";"REDE";"N";"28";"5"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01120";"ACRELÂNDIA";"8";"6";"Deputado Federal";"Coligação";"25";"DEM";"Democratas";"10000050074";"Mudança e Competência 1";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"N";"234";"3"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01090";"MÂNCIO LIMA";"4";"6";"Deputado Federal";"Partido isolado";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"10000050679";"PARTIDO ISOLADO";"PRTB";"N";"2";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01040";"MARECHAL THAUMATURGO";"4";"6";"Deputado Federal";"Coligação";"27";"DC";"Democracia Cristã";"10000050220";"Frente Popular do Acre I";"PT / PSB / PHS / PC do B / DC";"N";"2";"2"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AC";"AC";"ACRE";"01090";"MÂNCIO LIMA";"4";"6";"Deputado Federal";"Coligação";"36";"PTC";"Partido Trabalhista Cristão";"10000050074";"Mudança e Competência 1";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"N";"11";"2"
