NAME,IDEOLOGY
MDB,center
PT,center-left
PSDB,center-left
PP,right
PDT,center-left
PTB,center
DEM,center-right
PL,center-right
PSB,center-left
PPS,center-left
PSC,right
PRB,center-right
PCdoB,left
PV,center-left
PSD,center
PSL,right
PMN,center-left
SD,center-left
PHS,center-right
PTC,center
AVANTE,center
DC,center-right
PODE,center-right
PSOL,left
PRTB,right
PROS,center-left
PATRI,right
PMB,center-left
NOVO,right
REDE,center
PSTU,left
PCB,left
PCO,left
PRP,center
PPL,left
SOLIDARIEDADE,center
PR,center-right
PTDOB,center
PTN,center-right
PSDC,center-right
PMDB,center
PEN,right
PL,center-right
PCO,left
